2024-03-14 20:11:55,116 - Using device: cpu
2024-03-14 20:11:55,116 - 
Epoch: 2

2024-03-14 20:12:00,250 - Epoch [1/2], Step [189/600], Loss: 0.2150, RAM Usage: 61.80%, CPU Usage: 0.00%
2024-03-14 20:12:00,275 - Epoch [1/2], Step [190/600], Loss: 0.3425, RAM Usage: 61.80%, CPU Usage: 1.60%
2024-03-14 20:12:00,297 - Epoch [1/2], Step [191/600], Loss: 0.2937, RAM Usage: 61.80%, CPU Usage: 0.00%
2024-03-14 20:12:00,326 - Epoch [1/2], Step [192/600], Loss: 0.3184, RAM Usage: 61.80%, CPU Usage: 0.00%
2024-03-14 20:12:00,351 - Epoch [1/2], Step [193/600], Loss: 0.2140, RAM Usage: 61.80%, CPU Usage: 1.60%
2024-03-14 20:12:00,376 - Epoch [1/2], Step [194/600], Loss: 0.1381, RAM Usage: 61.80%, CPU Usage: 0.00%
2024-03-14 20:12:00,401 - Epoch [1/2], Step [195/600], Loss: 0.1828, RAM Usage: 61.80%, CPU Usage: 0.00%
2024-03-14 20:12:00,429 - Epoch [1/2], Step [196/600], Loss: 0.1003, RAM Usage: 61.80%, CPU Usage: 1.60%
2024-03-14 20:12:00,456 - Epoch [1/2], Step [197/600], Loss: 0.2246, RAM Usage: 61.80%, CPU Usage: 2.60%
2024-03-14 20:12:00,481 - Epoch [1/2], Step [198/600], Loss: 0.1749, RAM Usage: 61.90%, CPU Usage: 0.00%
2024-03-14 20:12:00,506 - Epoch [1/2], Step [199/600], Loss: 0.2572, RAM Usage: 61.90%, CPU Usage: 1.60%
2024-03-14 20:12:00,527 - Epoch [1/2], Step [200/600], Loss: 0.2141, RAM Usage: 61.90%, CPU Usage: 3.10%
2024-03-14 20:12:00,558 - Epoch [1/2], Step [201/600], Loss: 0.1590, RAM Usage: 61.90%, CPU Usage: 1.60%
